key,en,hi,ta,te,bn,gu,mr,pa,ur,kn,ml,or
manipur,Manipur,मणिपुर,மணிப்பூர்,మణిపూర్,মণিপুর,મણિપુર,मणिपूर,ਮਣੀਪੁਰ,منی پور,ಮಣಿಪುರ,മണിപ്പൂർ,ମଣିପୁର
meghalaya,Meghalaya,मेघालय,மேகாலயா,మేఘాలయ,মেঘালয়,મેઘાલય,मेघालय,ਮੇਘਾਲਿਆ,میگھالیہ,ಮೇಘಾಲಯ,മേഘാലയ,ମେଘାଳୟ
moizoram,Mizoram,मिजोरम,மிசோரம்,మిజోరం,মিজোরাম,મિઝોરમ,मिझोराम,ਮਿਜ਼ੋਰਮ,میزورم,ಮಿಜೋರಾಂ,മിസോറാം,ମିଜୋରାମ
nagaland,Nagaland,नगालैंड,நாகாலாந்து,నాగాలాండ్,নাগাল্যান্ড,નાગાલેન્ડ,नागालँड,ਨਾਗਾਲੈਂਡ,ناگالینڈ,ನಾಗಾಲ್ಯಾಂಡ್,നാഗാലാൻഡ്,ନାଗାଲାଣ୍ଡ |
odisha,Odisha,ओडिशा,ஒடிசா,ఒడిశా,ওড়িশা,ઓડિશા,ओडिशा,ਉੜੀਸਾ,اوڈیشہ,ಒಡಿಶಾ,ഒഡീഷ,ଓଡ଼ିଶା
punjab,Punjab,पंजाब,பஞ்சாப்,పంజాబ్,পাঞ্জাব,પંજાબ,पंजाब,ਪੰਜਾਬ,پنجاب,ಪಂಜಾಬ್,പഞ്ചാബ്,ପଞ୍ଜାବ
rajasthan,Rajasthan,राजस्थान,ராஜஸ்தான்,రాజస్థాన్,রাজস্থান,રાજસ્થાન,राजस्थान,ਰਾਜਸਥਾਨ,راجستھان,ರಾಜಸ್ಥಾನ,രാജസ്ഥാൻ,ରାଜସ୍ଥାନ
sikkim,Sikkim,सिक्किम,சிக்கிம்,సిక్కిం,সিকিম,સિક્કિમ,सिक्कीम,ਸਿੱਕਮ,سکم,ಸಿಕ್ಕಿಂ,സിക്കിം,ସିକ୍କିମ୍ |
tamilNadu,Tamil Nadu,तमिलनाडु,தமிழ்நாடு,తమిళనాడు,তামিলনাড়ু,તમિલનાડુ,तामिळनाडू,ਤਾਮਿਲਨਾਡੂ,تمل ناڈو,ತಮಿಳುನಾಡು,തമിഴ്നാട്,ତାମିଲନାଡୁ |
telangana,Telangana,तेलंगाना,தெலுங்கானா,తెలంగాణ,তেলেঙ্গানা,તેલંગાણા,तेलंगणा,ਤੇਲੰਗਾਨਾ,تلنگانہ,ತೆಲಂಗಾಣ,തെലങ്കാന,ତେଲେଙ୍ଗାନା
tripura,Tripura,त्रिपुरा,திரிபுரா,త్రిపుర,ত্রিপুরা,ત્રિપુરા,त्रिपुरा,ਤ੍ਰਿਪੁਰਾ,تریپورہ,ತ್ರಿಪುರಾ,ത്രിപുര,ତ୍ରିପୁରା
uttarPradesh,Uttar Pradesh,उतार प्रदेश।,உத்தரப்பிரதேசம்,ఉత్తర ప్రదేశ్,উত্তরপ্রদেশ,ઉત્તર પ્રદેશ,उत्तर प्रदेश,ਉੱਤਰ ਪ੍ਰਦੇਸ਼,اتر پردیش,ಉತ್ತರ ಪ್ರದೇಶ,ഉത്തർപ്രദേശ്,ଉତ୍ତରପ୍ରଦେଶ
uttarakhand,Uttarakhand,उत्तराखंड,உத்தரகாண்ட்,ఉత్తరాఖండ్,উত্তরাখণ্ড,ઉત્તરાખંડ,उत्तराखंड,ਉੱਤਰਾਖੰਡ,اتراکھنڈ,ಉತ್ತರಾಖಂಡ,ഉത്തരാഖണ്ഡ്,ଉତ୍ତରାଖଣ୍ଡ
westBengal,West Bengal,पश्चिम बंगाल,மேற்கு வங்காளம்,పశ్చిమ బెంగాల్,পশ্চিমবঙ্গ,પશ્ચિમ બંગાળ,पश्चिम बंगाल,ਪੱਛਮੀ ਬੰਗਾਲ,مغربی بنگال,ಪಶ್ಚಿಮ ಬಂಗಾಳ,പശ്ചിമ ബംഗാൾ,ପଶ୍ଚିମବଙ୍ଗ
